#Target , Distance , uD plus, uD minus, Luminosity, uL plus, uL minus, \lambda_{obs} , f_{\rm obs} , uf_obs plus/minus, f_{\star}, f_{\rm disc} , uf_{\rm disc} plus, f_{\rm disc} minus, R_{\rm disc} , uR plus, uR minus, \Delta R_{\rm disc} , u\Delta R plus, u\Delta R minus,   \phi , u\phi plus, u\phi minus,  \theta, u\theta plus, u\theta minus 
#       , (pc), (pc), (pc), (L_{\odot}), (L_{\odot}), (L_{\odot}), (\mum)   , (mJy) , (mJy), (mJy) , (mJy), (mJy), (mJy), (au) ,(au) ,(au) ,(au) ,(au) ,(au) , (\degr), (\degr), (\degr), (\degr), (\degr), (\degr)
HD161868 , 30.039,+0.526,-0.508 , 27.216,+1.114,-1.194 , 70 , 1236,38 , 280 , 1032,+5,-7 , 94.8,+1.9,-2.8 , 70.1,+14.9,-19.1 , 58.3,+0.6,-0.5 , 65.0,+1.3,-9.3 
HD14055 , 33.953,+0.474,-0.461 , 28.460,+1.008,-1.515 , 70 , 849,48 , 20 , 733,+8,-4 , 110.6,+4.0,-2.7 , 76.5,+2.8,-50.0 , 0.1,+0.1,-2.1 , 75.5,+2.2,-15.0 
HD182681 , 71.422,+0.682,-0.670 , 29.423,+1.623,-1.500 , 70 , 603,19 , 5 , 527,+4,-2 , 158.8,+13.7,-6.1 , 51.0,+31.3,-19.1 , 56.3,+0.9,-1.4 , 77.5,+2.8,-13.2 
HD188228 , 31.381,+0.326,-0.319 , 30.378,+0.924,-1.019 , 70 , 67,5 , 18 , 33,+2,-2 , 130.1,+10.3,-10.8 , 37.9,+25.4,-14.9 , 41.2,+10.0,-9.9 , 41.2,+8.1,-12.9 
HD10939 , 60.967,+0.484,-0.476 , 34.674,+0.650,-0.876 , 70 , 390,12 , 8 , 330,+2,-8 , 148.9,+8.7,-8.1 , 65.6,+32.8,-21.3 , 40.8,+7.0,-48.2 , 33.6,+3.4,-16.3 
TYC2359_1127_1 , 294.360,+7.937,-7.531 , 37.900,+2.026,-2.114 , 70 , 106,3 , 1 , 239,+8,-33 , 1238.3,+15.1,-25.0 , 1048.1,+30.2,-185.9 , 50.1,+6.2,-6.1 , 13.7,+15.1,-7.6 
HD172167 , 7.679,+0.021,-0.021 , 56.427,+2.762,-3.620 , 70 , 6941,392 , 770 , 5980,+6,-163 , 90.0,+4.7,-0.1 , 81.0,+0.0,-3.6 , 176.5,+5.3,-1.7 , 10.1,+8.7,-0.3 
HD139006 , 23.010,+0.149,-0.147 , 71.354,+2.488,-1.596 , 70 , 558,32 , 10 , 412,+2,-6 , 41.7,+4.7,-9.9 , 13.8,+1.5,-2.0 , 0.6,+0.5,-18.4 , 73.3,+10.2,-38.5 
HD13161 , 38.895,+0.521,-0.508 , 72.391,+2.163,-1.613 , 70 , 693,40 , 70 , 543,+3,-3 , 101.3,+5.8,-3.6 , 88.4,+2.0,-41.3 , 63.7,+23.3,-1.6 , 46.1,+0.8,-6.4 
HD158643 , 122.698,+4.639,-4.313 , 173.273,+14.548,-13.942 , 70 , 905,24 , 13 , 298,+3,-3 , 209.1,+17.4,-19.7 , 86.4,+10.1,-21.9 , 37.6,+16.6,-46.0 , 21.5,+7.0,-10.0 
